n;p;time
60;3;0.10016179084777832
80;3;0.2548832893371582
30;4;0.00967264175415039
60;4;0.06773138046264648
80;4;0.1616218090057373
30;5;0.007323503494262695
60;5;0.05007815361022949
80;5;0.12841796875
30;6;0.006588935852050781
60;6;0.040786027908325195
80;6;0.10139584541320801
30;7;0.005852222442626953
60;7;0.03581857681274414
80;7;0.09937644004821777
30;8;0.005136728286743164
60;8;0.029994726181030273
80;8;0.07417917251586914
30;9;0.006994724273681641
60;9;0.0808711051940918
80;9;0.12891769409179688
30;10;0.00873875617980957
60;10;0.05589795112609863
80;10;0.10569119453430176
30;11;0.00719761848449707
60;11;0.048094987869262695
80;11;0.10490298271179199
30;12;0.006064891815185547
60;12;0.048391103744506836
80;12;0.1068582534790039
30;13;0.005983114242553711
60;13;0.04019522666931152
80;13;0.0970616340637207
30;14;0.006945133209228516
60;14;0.038716793060302734
80;14;0.08589529991149902
30;15;0.007174968719482422
60;15;0.036904335021972656
80;15;0.07080674171447754
30;2;0.02483534812927246
60;2;0.19632840156555176
80;2;0.4135856628417969
30;3;0.013740777969360352
60;3;0.10162734985351562
80;3;0.23500609397888184
30;4;0.010025978088378906
60;4;0.07134032249450684
80;4;0.16657376289367676
30;5;0.007718324661254883
60;5;0.04955148696899414
80;5;0.12778902053833008
30;6;0.00702977180480957
60;6;0.04094648361206055
80;6;0.1009817123413086
30;7;0.0058553218841552734
60;7;0.037619590759277344
80;7;0.0913395881652832
30;8;0.005194902420043945
60;8;0.0325922966003418
80;8;0.06634354591369629
30;9;0.006989240646362305
60;9;0.07313680648803711
80;9;0.1293199062347412
30;10;0.008240461349487305
60;10;0.05118441581726074
80;10;0.10558342933654785
30;11;0.007514238357543945
60;11;0.04892539978027344
80;11;0.11086010932922363
30;12;0.0058689117431640625
60;12;0.04725003242492676
80;12;0.10860276222229004
30;13;0.005978107452392578
60;13;0.04084658622741699
80;13;0.09409451484680176
30;14;0.00723719596862793
60;14;0.040482282638549805
80;14;0.08730721473693848
30;15;0.007146358489990234
60;15;0.03464484214782715
80;15;0.07267308235168457
30;2;0.025756120681762695
60;2;0.17644214630126953
80;2;0.44094371795654297
30;3;0.013196945190429688
60;3;0.0934913158416748
80;3;0.22998523712158203
30;4;0.00944209098815918
60;4;0.06730937957763672
80;4;0.16245746612548828
30;5;0.007582426071166992
60;5;0.052721261978149414
80;5;0.12373757362365723
30;6;0.006598949432373047
60;6;0.044266700744628906
80;6;0.09889960289001465
30;7;0.0061032772064208984
60;7;0.03789186477661133
80;7;0.10239720344543457
30;8;0.004998445510864258
60;8;0.031996726989746094
80;8;0.0696876049041748
30;9;0.0072863101959228516
60;9;0.0749216079711914
80;9;0.1325972080230713
30;10;0.008494138717651367
60;10;0.05044817924499512
80;10;0.10248923301696777
30;11;0.00758671760559082
60;11;0.04869866371154785
80;11;0.10634589195251465
30;12;0.00577998161315918
60;12;0.04549717903137207
80;12;0.10856294631958008
30;13;0.005869865417480469
60;13;0.040885210037231445
80;13;0.09260344505310059
30;14;0.0069217681884765625
60;14;0.03739500045776367
80;14;0.08749008178710938
30;15;0.007149696350097656
60;15;0.0342097282409668
80;15;0.07332658767700195
